feature,correlation,abs_correlation
pct_diff_kenpom_NetRtg,0.43689527789750604,0.43689527789750604
pct_diff_kenpom_ORtg,0.4038637942672937,0.4038637942672937
pct_diff_BPI,0.4024964563309322,0.4024964563309322
pct_diff_kenpom_DRtg,-0.39143069947430087,0.39143069947430087
pct_diff_kenpom_Rk,0.38799393036503427,0.38799393036503427
pct_diff_kenpom_SOS_DRtg,-0.38794064994133387,0.38794064994133387
pct_diff_kenpom_SOS_ORtg,0.3847252104762516,0.3847252104762516
pct_diff_kenpom_SOS_NetRtg_Rank,0.3701787514656892,0.3701787514656892
pct_diff_bartTorvik_Barthag,0.3698059315900268,0.3698059315900268
pct_diff_BPI_Rank,0.36748604489867476,0.36748604489867476
pct_diff_bartTorvik_AdjOE,0.36621929960301375,0.36621929960301375
pct_diff_kenpom_SOS_DRtg_Rank,0.36293691603184863,0.36293691603184863
pct_diff_kenpom_SOS_ORtg_Rank,0.3574586301650493,0.3574586301650493
pct_diff_bartTorvik_Rk,0.34955313916132247,0.34955313916132247
pct_diff_kenpom_DRtg_Rank,0.34278835835364957,0.34278835835364957
pct_diff_bartTorvik_AdjDE,-0.32840026297732,0.32840026297732
pct_diff_masseyComposite_Rank,0.32813864214584165,0.32813864214584165
pct_diff_kenpom_ORtg_Rank,0.32578707139177265,0.32578707139177265
pct_diff_bartTorvik_Wins_Overall,0.3018512606175759,0.3018512606175759
pct_diff_bartTorvik_G,0.1745225310494101,0.1745225310494101
pct_diff_bartTorvik_ORB,0.1738729280221712,0.1738729280221712
pct_diff_bartTorvik_EFGD%,-0.16968893443964353,0.16968893443964353
pct_diff_kenpom_SOS_NetRtg,0.15593469484975123,0.15593469484975123
pct_diff_bartTorvik_TOR,-0.1492998486713795,0.1492998486713795
pct_diff_bartTorvik_2P%D,-0.14208945770407042,0.14208945770407042
pct_diff_bartTorvik_2P%,0.1326743971779073,0.1326743971779073
pct_diff_bartTorvik_EFG%,0.13068219748007287,0.13068219748007287
pct_diff_bartTorvik_3P%D,-0.11701683139802314,0.11701683139802314
pct_diff_bartTorvik_FTRD,-0.09106000714807312,0.09106000714807312
pct_diff_bartTorvik_3P%,0.06492416582059798,0.06492416582059798
pct_diff_bartTorvik_FTR,-0.05729739893947953,0.05729739893947953
pct_diff_BPI_Off,0.057261397423376964,0.057261397423376964
pct_diff_kenpom_NCSOS_NetRtg_Rank,0.05709362018653279,0.05709362018653279
pct_diff_kenpom_Luck_Rank,0.04415035162558905,0.04415035162558905
pct_diff_BPI_Def,0.04394328290298527,0.04394328290298527
pct_diff_bartTorvik_TORD,0.038969410258489816,0.038969410258489816
pct_diff_kenpom_NCSOS_NetRtg,0.034911080782446535,0.034911080782446535
pct_diff_bartTorvik_DRB,-0.02251261528689516,0.02251261528689516
pct_diff_bartTorvik_WAB,-0.02214392476713207,0.02214392476713207
pct_diff_bartTorvik_3PRD,-0.02114923285051251,0.02114923285051251
pct_diff_bartTorvik_Adj T.,0.02019400773399924,0.02019400773399924
pct_diff_bartTorvik_3PR,-0.013713873947142722,0.013713873947142722
pct_diff_kenpom_AdjT_Rank,0.007467691796252478,0.007467691796252478
pct_diff_kenpom_Luck,-0.00712174731095501,0.00712174731095501
pct_diff_kenpom_AdjT,0.004696690436855872,0.004696690436855872
